参加者ID,プレイ時間(秒),落下回数,危険ゾーン滞在時間(秒)
player1,14.61,1,7.67
player1,22.18,2,9.78
player1,27.13,0,8.27
player1,15.58,0,15.58
player1,17.42,2,6.74
player1,8.74,0,3.17
player1,0.22,0,0.00
player1,6.58,0,4.84
player1,5.60,0,2.15
player1,12.50,0,5.70
player1,5.54,0,4.87
player1,6.60,0,3.56
player1,5.48,0,2.34
player1,10.17,1,5.21
player1,16.30,0,8.52
player1,14.78,0,9.21
player1,9.67,0,2.24
player1,5.99,0,3.66
player1,16.52,0,7.82
player1,12.25,0,4.27
player1,11.33,0,3.27
player1,13.12,1,8.43
player1,6.04,0,3.77
player1,6.18,0,2.02
player1,9.82,0,6.41
player1,13.75,0,4.61
player1,9.65,0,3.20
player1,6.93,0,4.45
player1,16.09,0,7.15
player1,9.92,0,4.05
player1,9.77,2,2.88
player1,6.30,0,3.89
player1,7.95,0,0.97
player1,6.07,0,1.64
player1,7.68,0,1.68
player1,5.64,0,2.04
player1,16.27,0,4.21
player1,7.89,0,3.32
player1,6.65,0,1.66
player1,8.93,0,8.10
player1,6.06,0,1.80
player1,6.26,0,4.72
player1,8.21,0,3.34
player1,5.85,0,5.69
player1,6.24,0,0.94
player1,5.74,0,0.18
player1,6.90,0,2.11
player1,12.90,1,7.32
player1,5.52,0,5.52
player1,11.20,0,3.63
player1,19.90,0,3.43
player1,6.28,0,1.54
player1,7.11,0,4.62
player1,9.36,0,5.86
player1,5.98,0,5.84
player1,7.22,0,1.05
player1,6.09,0,1.20
player1,6.73,0,1.23
player1,15.40,0,4.67
player1,13.84,0,6.91
player1,20.71,3,10.73
player1,11.41,0,10.30
player1,15.75,0,5.82
player1,12.33,0,4.83
player1,13.99,1,5.55
player1,13.52,0,10.84
player1,12.49,0,6.09
player1,13.16,0,9.09
player1,13.69,0,4.46
player1,14.20,0,4.93
player1,28.92,1,5.43
player1,19.20,0,17.80
player1,13.00,0,3.27
player1,12.58,0,7.80
player1,9.55,1,3.52
player1,17.00,1,7.37
player1,17.90,1,7.86
player1,18.60,2,9.07
player1,28.85,2,26.62
player1,70.70,1,4.44
player1,15.40,0,7.12
player1,13.92,0,7.61
player1,21.93,0,3.44
player1,12.23,0,4.28
player1,11.82,0,5.13
